Usuario,Contrasena
c.delgado_farmaceutico@gestionmedica.gob.ec,o14IR98v9reqOwvAzg+rfg==
a.mendieta_paciente@gestionmedica.gob.ec,b3w4WKl2WrMctfjSX3HlVg==
s.chavez_farmaceutico@gestionmedica.gob.ec,Cmv35+I+K3kFZpUzT6theA==
m.lamiña_doctor@gestionmedica.gob.ec,Cmv35+I+K3kFZpUzT6theA==
e.chavez_paciente@gestionmedica.gob.ec,q3ZIn7vGdoBRiBE7WDu+Mg==
e.chavez_doctor@gestionmedica.gob.ec,McY3V2KbBB5eHEefUdRfJA==
e.c_farmaceutico@gestionmedica.gob.ec,Cmv35+I+K3kFZpUzT6theA==
r.martinez_doctor@gestionmedica.gob.ec,Cmv35+I+K3kFZpUzT6theA==
s.c_paciente@gestionmedica.gob.ec,krcZa1HeXenbfuR85ip6FQ==
e.cordova_paciente@gestionmedica.gob.ec,crjwKZESFdx/S9dWWsBi1A==
e.paez_doctor@gestionmedica.gob.ec,crjwKZESFdx/S9dWWsBi1A==
e.diaz_doctor@gestionmedica.gob.ec,crjwKZESFdx/S9dWWsBi1A==
s.cordova_farmaceutico@gestionmedica.gob.ec,crjwKZESFdx/S9dWWsBi1A==
m.chavez_paciente@gestionmedica.gob.ec,crjwKZESFdx/S9dWWsBi1A==
a.admin_admin@gestionmedica.gob.ec,bPT73piDNJsoHE7gDiOv8w==
